Place,Number,Request,,,,,,,,,,,,,
Allston,1683,Unsatisfactory Living Conditions,,,,,,,,,,,,,
Allston,645,Tree Requests,,,,,,,,,,,,,
Allston,4006,Need for Street Cleaning,,,,,,,,,,,,,
Allston,84,Needle Pickup,,,,,,,,,,,,,
Allston,317,Missing Street Lights,,,,,,,,,,,,,
Allston,4024,No Snow Shoveling,,,,,,,,,,,,,
Back Bay,286,Unsatisfactory Living Conditions,,,,,,,,,,,,,
Back Bay,345,New Tree Requests,,,,,,,,,,,,,
Back Bay,3128,Need for Street Cleaning,,,,,,,,,,,,,
Back Bay,207,# of complaints on Needle Pickup,,,,,,,,,,,,,
Back Bay,740,# of complaints on missing street lights,,,,,,,,,,,,,
Back Bay,2251,# of complaints on no snow shoveling,,,,,,,,,,,,,
Beacon Hill,158,# of complaints on Unsatisfactory Living Conditions,,,,,,,,,,,,,
Beacon Hill,258,# of New Tree Requests,,,,,,,,,,,,,
Beacon Hill,2640,# of complaints on need for Street Cleaning,,,,,,,,,,,,,
Beacon Hill,28,# of complaints on Needle Pickup,,,,,,,,,,,,,
Beacon Hill,599,# of complaints on missing street lights,,,,,,,,,,,,,
Beacon Hill,697,# of complaints on no snow shoveling,,,,,,,,,,,,,
Brighton,66,# of complaints on Unsatisfactory Living Conditions,,,,,,,,,,,,,
Brighton,45,# of New Tree Requests,,,,,,,,,,,,,
Brighton,135,# of complaints on need for Street Cleaning,,,,,,,,,,,,,
Brighton,7,# of complaints on Needle Pickup,,,,,,,,,,,,,
Brighton,18,# of complaints on missing street lights,,,,,,,,,,,,,
Brighton,193,# of complaints on no snow shoveling,,,,,,,,,,,,,
Charleston,208,# of complaints on Unsatisfactory Living Conditions,,,,,,,,,,,,,
Charleston,429,# of New Tree Requests,,,,,,,,,,,,,
Charleston,1546,# of complaints on need for Street Cleaning,,,,,,,,,,,,,
Charleston,161,# of complaints on Needle Pickup,,,,,,,,,,,,,
Charleston,591,# of complaints on missing street lights,,,,,,,,,,,,,
Charleston,2605,# of complaints on no snow shoveling,,,,,,,,,,,,,
Dorchester,3790,# of complaints on Unsatisfactory Living Conditions,,,,,,,,,,,,,
Dorchester,1332,# of New Tree Requests,,,,,,,,,,,,,
Dorchester,12238,# of complaints on need for Street Cleaning,,,,,,,,,,,,,
Dorchester,604,# of complaints on Needle Pickup,,,,,,,,,,,,,
Dorchester,1147,# of complaints on missing street lights,,,,,,,,,,,,,
Dorchester,11382,# of complaints on no snow shoveling,,,,,,,,,,,,,
East Boston,1017,# of complaints on Unsatisfactory Living Conditions,,,,,,,,,,,,,
East Boston,612,# of New Tree Requests,,,,,,,,,,,,,
East Boston,7422,# of complaints on need for Street Cleaning,,,,,,,,,,,,,
East Boston,183,# of complaints on Needle Pickup,,,,,,,,,,,,,
East Boston,331,# of complaints on missing street lights,,,,,,,,,,,,,
East Boston,2494,# of complaints on no snow shoveling,,,,,,,,,,,,,
Matapan,2692,# of complaints on Unsatisfactory Living Conditions,,,,,,,,,,,,,
Matapan,412,# of New Tree Requests,,,,,,,,,,,,,
Matapan,4275,# of complaints on need for Street Cleaning,,,,,,,,,,,,,
Matapan,55,# of complaints on Needle Pickup,,,,,,,,,,,,,
Matapan,355,# of complaints on missing street lights,,,,,,,,,,,,,
Hyde Park,811,# of complaints on Unsatisfactory Living Conditions,,,,,,,,,,,,,
Hyde Park,344,# of New Tree Requests,,,,,,,,,,,,,
Hyde Park,6289,# of complaints on need for Street Cleaning,,,,,,,,,,,,,
Hyde Park,60,# of complaints on Needle Pickup,,,,,,,,,,,,,
Hyde Park,198,# of complaints on missing street lights,,,,,,,,,,,,,
Jamaica Plain,924,# of complaints on Unsatisfactory Living Conditions,,,,,,,,,,,,,
Jamaica Plain,403,# of New Tree Requests,,,,,,,,,,,,,
