Year,Place,Number,Request
2013,Allston,1683,Unsatisfactory Living Conditions
2014,Allston,,Unsatisfactory Living Conditions
2015,Allston,,Unsatisfactory Living Conditions
2016,Allston,,Unsatisfactory Living Conditions
2017,Allston,,Unsatisfactory Living Conditions
,Allston,645,New Tree Requests
,Allston,4006,Need for Street Cleaning
,Allston,84,Needle Pickup
,Allston,317,Missing street lights
,Allston,4024,No Snow Shoveling
,Back Bay,286,Unsatisfactory Living Conditions
,Back Bay,345,New Tree Requests
,Back Bay,3128,Need for Street Cleaning
,Back Bay,207,Needle Pickup
,Back Bay,740,Missing street lights
,Back Bay,2251,No Snow Shoveling
,Beacon Hill,158,Unsatisfactory Living Conditions
,Beacon Hill,258,New Tree Requests
,Beacon Hill,2640,Need for Street Cleaning
,Beacon Hill,28,Needle Pickup
,Beacon Hill,599,Missing street lights
,Beacon Hill,697,No Snow Shoveling
,Brighton,66,Unsatisfactory Living Conditions
,Brighton,45,New Tree Requests
,Brighton,135,Need for Street Cleaning
,Brighton,7,Needle Pickup
,Brighton,18,Missing street lights
,Brighton,193,No Snow Shoveling
,Charleston,208,Unsatisfactory Living Conditions
,Charleston,429,New Tree Requests
,Charleston,1546,Need for Street Cleaning
,Charleston,161,Needle Pickup
,Charleston,591,Missing street lights
,Charleston,2605,No Snow Shoveling
,Dorchester,3790,Unsatisfactory Living Conditions
,Dorchester,1332,New Tree Requests
,Dorchester,12238,Need for Street Cleaning
,Dorchester,604,Needle Pickup
,Dorchester,1147,Missing Street Lights
,Dorchester,11382,No Snow Shoveling
,East Boston,1017,Unsatisfactory Living Conditions
,East Boston,612,New Tree Requests
,East Boston,7422,Need for Street Cleaning
,East Boston,183,Needle Pickup
,East Boston,331,Missing Street Lights
,East Boston,2494,No Snow Shoveling
,Matapan,2692,Unsatisfactory Living Conditions
,Matapan,412,New Tree Requests
,Matapan,4275,Need for Street Cleaning
,Matapan,55,Needle Pickup
,Matapan,355,Missing street lights
,Matapan,3684,No Snow Shoveling
,Hyde Park,811,Unsatisfactory Living Conditions
,Hyde Park,344,New Tree Requests
,Hyde Park,6289,Need for Street Cleaning
,Hyde Park,60,Needle Pickup
,Hyde Park,198,Missing street lights
,Hyde Park,4377,No Snow Shoveling
,Jamaica Plain,924,Unsatisfactory Living Conditions
,Jamaica Plain,403,New Tree Requests
,Jamaica Plain,3522,Need for Street Cleaning
,Jamaica Plain,318,Needle Pickup
,Jamaica Plain,423,Missing street lights
,Jamaica Plain,5293,No Snow Shoveling
,Roxbury,3109,Unsatisfactory Living Conditions
,Roxbury,471,New Tree Requests
,Roxbury,6297,Need for Street Cleaning
,Roxbury,1615,Needle Pickup
,Roxbury,722,Missing street lights
,Roxbury,7222,No Snow Shoveling
,Roslindale,509,Unsatisfactory Living Conditions
,Roslindale,509,New Tree Requests
,Roslindale,3534,Need for Street Cleaning
,Roslindale,42,Needle Pickup
,Roslindale,189,Missing street lights
,Roslindale,3744,No Snow Shoveling
,South Boston,825,Unsatisfactory Living Conditions
,South Boston,599,New Tree Requests
,South Boston,4404,Need for Street Cleaning
,South Boston,755,Needle Pickup
,South Boston,477,Missing street lights
,South Boston,3961,No Snow Shoveling
,South End,400,Unsatisfactory Living Conditions
,South End,576,New Tree Requests
,South End,3770,Need for Street Cleaning
,South End,1097,Needle Pickup
,South End,296,Missing street lights
,South End,2204,No Snow Shoveling
,West Roxbury,237,Unsatisfactory Living Conditions
,West Roxbury,1015,New Tree Requests
,West Roxbury,3138,Need for Street Cleaning
,West Roxbury,3138,Needle Pickup
,West Roxbury,25,Missing street lights
,West Roxbury,244,No Snow Shoveling
